Country,Name,Contact,CountryCode,Course,Currency_Code,Currency_x,Currency_y,Units,Buy,Sell
india,Philip Ward,001-640-328-4456,IS,Python,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
belgium,Jamie Hernandez,(745)592-8384,NR,Python,EUR,Euro,European Euro,1,143.56,144.21
liechtenstein,Anthony Rose,306-506-8915x96695,DM,Python,CHF,Swiss Franc,Swiss Franc,1,147.0,147.66
saint pierre and miquelon,Michael Jones,+1-429-909-1817x90550,BJ,Python,EUR,Euro,European Euro,1,143.56,144.21
greenland,Debra Haynes,+1-754-465-8724x1834,BA,Python,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
latvia,Brenda Parker,377.994.7305x3333,LC,C#,EUR,Euro,European Euro,1,143.56,144.21
saudi arabia,Amber Roberts,227-524-2388,CI,PHP,SAR,Saudi Riyal,Saudi Arabian Riyal,1,35.55,35.71
nauru,Anthony Wang,+1-283-206-5907x410,SB,C#,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
american samoa,Justin Lyons,(916)605-4755,SI,PHP,USD,US Dollar,U.S. Dollar,1,133.32,133.92
saudi arabia,Ellen White,001-778-779-9296x890,IN,Python,SAR,Saudi Riyal,Saudi Arabian Riyal,1,35.55,35.71
switzerland,Diana Flores,393.604.4872x510,SG,PHP,CHF,Swiss Franc,Swiss Franc,1,147.0,147.66
kiribati,Jillian Brown,737.438.9079,PK,Python,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
italy,Diana Dunn,992.237.0193,TL,Java,EUR,Euro,European Euro,1,143.56,144.21
spain,Toni Johnston,589-962-0664x0292,MW,Java,EUR,Euro,European Euro,1,143.56,144.21
haiti,Sylvia Oconnell,(561)541-8854,BB,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
japan,Kristine Dixon,954-647-6930,MW,C#,JPY,Yen,Japanese Yen,10,8.63,8.67
saint pierre and miquelon,Steven Harper,(210)775-6783,ES,Java,EUR,Euro,European Euro,1,143.56,144.21
lithuania,Richard Lang,3246457192,GB,Java,EUR,Euro,European Euro,1,143.56,144.21
slovenia,James Hernandez,705.446.8484x81041,HU,Python,EUR,Euro,European Euro,1,143.56,144.21
timor-leste,Richard Lee,+1-235-691-6759x24243,DZ,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
ecuador,Joshua Davis,(803)861-3055x2311,CG,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
switzerland,April Cox,901.999.8342,RW,C#,CHF,Swiss Franc,Swiss Franc,1,147.0,147.66
tuvalu,Crystal Ortiz,575.541.1464x6321,MM,PHP,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
isle of man,Jonathan Johnson,427.448.1907,CN,Java,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
palau,Theodore Nunez,(665)592-7636x3154,TR,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
france,Robert Vance,530-384-7091,GB,PHP,EUR,Euro,European Euro,1,143.56,144.21
martinique,Janice Martinez,+1-968-738-0273x1603,GE,Java,EUR,Euro,European Euro,1,143.56,144.21
bhutan,Donna Mcdonald,(414)945-1290x70231,LS,Java,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
lithuania,Kenneth Davis,(934)376-9826x3394,AT,Python,EUR,Euro,European Euro,1,143.56,144.21
cyprus,Carrie Banks,958-861-1140x97540,GB,Java,EUR,Euro,European Euro,1,143.56,144.21
saudi arabia,Michael Brown,(330)792-1107x555,SV,C#,SAR,Saudi Riyal,Saudi Arabian Riyal,1,35.55,35.71
denmark,Angelica Mills,+1-260-468-0813x98888,DM,Java,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
haiti,Daniel Jones,001-453-891-9696x3014,MD,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
timor-leste,Terry Ramirez,380-220-5193,BI,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
greece,Ryan Pruitt,346.939.8571x26684,NL,Java,EUR,Euro,European Euro,1,143.56,144.21
thailand,Joseph Dillon,001-497-313-8935x928,PG,PHP,THB,Baht,Thai Baht,1,3.62,3.63
nauru,Angela Whitney,681.591.3671,LC,PHP,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
estonia,Michele Perez,461-764-4026,TO,Java,EUR,Euro,European Euro,1,143.56,144.21
greenland,Tara Gallegos,+1-788-928-5431,NR,C#,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
malta,Jerry Guerrero,+1-756-383-4117x140,NE,Python,EUR,Euro,European Euro,1,143.56,144.21
lithuania,Leslie Roberts,(779)387-7616,EG,Python,EUR,Euro,European Euro,1,143.56,144.21
kiribati,Kevin Holmes,649.655.1180x1253,CA,Java,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
slovenia,Monica Burns,(342)276-1371,SA,Java,EUR,Euro,European Euro,1,143.56,144.21
luxembourg,Christian Park,(997)498-1016,KP,C#,EUR,Euro,European Euro,1,143.56,144.21
switzerland,Jose Harrison,584.329.7730x971,TJ,C#,CHF,Swiss Franc,Swiss Franc,1,147.0,147.66
denmark,Keith Lewis,517-485-1482x5403,BA,Java,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
montenegro,Virginia Rose,001-781-876-6615x0176,LK,C#,EUR,Euro,European Euro,1,143.56,144.21
nauru,Madeline Duncan,001-699-353-5717x643,PS,Java,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
christmas island,Mr. John Baker,552-904-0714,LY,Python,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
germany,Robin Mitchell,(382)550-4743x466,FR,Java,EUR,Euro,European Euro,1,143.56,144.21
panama,Tara Carlson,9177767637,KI,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
portugal,Sara Hunt,690.200.3457,BW,C#,EUR,Euro,European Euro,1,143.56,144.21
india,Jon Love,(860)452-8625,SE,Python,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
timor-leste,Nicole Compton,(309)845-2189x879,KE,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
belgium,Miss Joanna Ford,373.608.6837,DE,PHP,EUR,Euro,European Euro,1,143.56,144.21
singapore,Chelsey Santos DVM,(536)390-0277x5594,GW,C#,SGD,Singapore Dollar,Singapore Dollar,1,98.53,98.98
lithuania,Sandra Brady,(563)771-5230x915,HR,Python,EUR,Euro,European Euro,1,143.56,144.21
isle of man,Amy Schultz,+1-476-259-0289x7368,BI,C#,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
guam,Andrew Haynes,921-878-3971x91233,CN,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
austria,Miranda Lucas,528.952.7181,AD,C#,EUR,Euro,European Euro,1,143.56,144.21
panama,Theresa Johnson,779.738.6196,BN,PHP,USD,US Dollar,U.S. Dollar,1,133.32,133.92
bahrain,Chad Heath,201-367-0145,DE,C#,BHD,Bahraini Dinar,Bahrain Dinar,1,353.6,355.19
greece,Lance Rojas,634.351.4714x2266,SM,PHP,EUR,Euro,European Euro,1,143.56,144.21
germany,Melissa Ellis,001-642-635-6446x06300,MR,C#,EUR,Euro,European Euro,1,143.56,144.21
tuvalu,Benjamin Fitzgerald,(574)990-6429x1593,MW,Python,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
panama,Kenneth Tyler,425.399.1758,GR,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
panama,Benjamin Garcia,685.553.3384x74011,AR,PHP,USD,US Dollar,U.S. Dollar,1,133.32,133.92
estonia,Ernest Meyer,564-936-3006,PK,Python,EUR,Euro,European Euro,1,143.56,144.21
timor-leste,Rebecca Kline,001-258-613-4846x136,IN,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
slovenia,Joanna Medina,001-895-407-0625x5263,ST,C#,EUR,Euro,European Euro,1,143.56,144.21
saint pierre and miquelon,Rose Fleming,493.950.0468,GB,Java,EUR,Euro,European Euro,1,143.56,144.21
india,Bruce Ryan,001-398-957-8446x57732,MX,PHP,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
switzerland,Marissa Hicks,001-912-315-5928x694,CI,PHP,CHF,Swiss Franc,Swiss Franc,1,147.0,147.66
malaysia,Joshua Miller,672.839.5227x88702,EC,C#,MYR,Malaysian Ringgit,Malaysian Ringgit,1,28.14,28.27
latvia,Joy Hudson,748-294-5244,CY,C#,EUR,Euro,European Euro,1,143.56,144.21
guam,Amber Bates,(598)691-8879x06156,NO,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
japan,Candice Michael,(230)469-1157x9924,MR,Python,JPY,Yen,Japanese Yen,10,8.63,8.67
canada,Danielle Salazar,214-761-6421x935,NL,PHP,CAD,Canadian Dollar,Canadian Dollar,1,97.47,97.91
australia,Makayla Thornton,001-386-659-5873x20030,SY,Java,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
martinique,Eric Lamb,(811)883-4803,RS,Java,EUR,Euro,European Euro,1,143.56,144.21
martinique,Misty Baker,(354)923-4485x4026,PH,PHP,EUR,Euro,European Euro,1,143.56,144.21
guam,Claire Wong,670-812-2568,SM,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
haiti,Vincent Bates,+1-992-772-2537x02840,LR,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
malaysia,Brittany Frederick,(410)935-0201x45261,TM,Python,MYR,Malaysian Ringgit,Malaysian Ringgit,1,28.14,28.27
bahrain,Jennifer Miller,+1-909-976-6089,NL,C#,BHD,Bahraini Dinar,Bahrain Dinar,1,353.6,355.19
switzerland,Lisa Anderson,001-440-476-8318x7904,SE,Java,CHF,Swiss Franc,Swiss Franc,1,147.0,147.66
timor-leste,Andrew Wilkerson,(728)274-9954x7784,CU,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
bahrain,Nathan Booker,+1-603-828-8494x26295,SA,PHP,BHD,Bahraini Dinar,Bahrain Dinar,1,353.6,355.19
monaco,Brittany Reynolds,+1-635-486-3314x4151,VN,Java,EUR,Euro,European Euro,1,143.56,144.21
australia,John Campbell,001-327-628-3278x492,NR,C#,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
puerto rico,Ashley Foster,001-945-600-4598,AO,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
french guiana,Stacy Hicks,001-356-736-3867x4566,MA,Python,EUR,Euro,European Euro,1,143.56,144.21
italy,Jason Kramer,001-727-289-2144x4723,MV,C#,EUR,Euro,European Euro,1,143.56,144.21
montenegro,Jessica Bell,001-708-204-3881x758,CD,Python,EUR,Euro,European Euro,1,143.56,144.21
french guiana,Stephen Hardy,767-932-3762x49196,OM,C#,EUR,Euro,European Euro,1,143.56,144.21
australia,Melissa Castro,659.435.1047x91508,PA,PHP,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
mayotte,Aaron Duarte,+1-890-224-0505x56334,SK,PHP,EUR,Euro,European Euro,1,143.56,144.21
china,Karina Jones,(428)572-6757,CM,Python,CNY,Yuan Renminbi,Chinese Yuan,1,18.47,18.55
montenegro,Dawn Knight,(447)408-9080x135,UG,C#,EUR,Euro,European Euro,1,143.56,144.21
montenegro,Tonya Khan,+1-282-300-8879x65533,BR,Python,EUR,Euro,European Euro,1,143.56,144.21
singapore,Allison Russo,(661)485-6768,SK,C#,SGD,Singapore Dollar,Singapore Dollar,1,98.53,98.98
christmas island,Samuel Collins,+1-412-583-5033x60092,ZW,PHP,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
canada,Jessica Zimmerman,+1-412-957-5958x687,LK,C#,CAD,Canadian Dollar,Canadian Dollar,1,97.47,97.91
montenegro,Danny Hill,494-885-1969,TT,Python,EUR,Euro,European Euro,1,143.56,144.21
jersey,Renee Peterson,702-552-3742,LB,Java,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
ireland,Tiffany Rojas,+1-485-336-8621x500,SO,Java,EUR,Euro,European Euro,1,143.56,144.21
nauru,Jacob Lopez,505.595.1304,ZA,C#,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
guernsey,Randy Small,+1-837-675-5723x9172,KP,Java,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
india,Luis Wright,+1-322-711-1469,TN,PHP,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
japan,Tracy Mclaughlin,385.725.9061x6227,SM,Python,JPY,Yen,Japanese Yen,10,8.63,8.67
germany,Nicholas Camacho,+1-766-482-8016,NI,Java,EUR,Euro,European Euro,1,143.56,144.21
hong kong,Mary Gordon,980-921-1721,BB,Java,HKD,Hong Kong Dollar,Hong Kong Dollar,1,17.05,17.12
guernsey,Shane Smith,(381)321-3761x944,JP,Java,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
guernsey,Megan Phillips,704.299.9506x2118,SL,PHP,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
greenland,Keith Davis,905-317-5310x0307,GN,C#,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
malta,Andrew Myers,001-575-956-3221x390,AM,Python,EUR,Euro,European Euro,1,143.56,144.21
spain,Colton Williams,001-979-530-0120x349,PL,Python,EUR,Euro,European Euro,1,143.56,144.21
india,Madison Whitney,625-902-9402,EG,C#,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
puerto rico,Robin Good,+1-222-311-2614x388,CY,PHP,USD,US Dollar,U.S. Dollar,1,133.32,133.92
martinique,Barbara Walker,8152870686,AE,Java,EUR,Euro,European Euro,1,143.56,144.21
san marino,Michael Collins,434-900-7480,NI,Java,EUR,Euro,European Euro,1,143.56,144.21
jersey,Andrew Fields,922.795.6630x662,KM,Java,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
guernsey,Patricia Perez,001-952-647-4404x1110,LB,PHP,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
norfolk island,Wendy Jenkins,+1-697-640-4854x9320,MV,PHP,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
guam,Matthew Murphy,992-632-6443x852,ES,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
monaco,Scott Austin,001-677-217-7060x618,RU,Java,EUR,Euro,European Euro,1,143.56,144.21
canada,Ricardo Horne,573.475.8237x92725,MG,C#,CAD,Canadian Dollar,Canadian Dollar,1,97.47,97.91
kiribati,Cynthia Ferguson,469-979-3821x0516,IR,C#,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
liechtenstein,Daniel Mayo,830.816.1033x028,TV,Java,CHF,Swiss Franc,Swiss Franc,1,147.0,147.66
sweden,Bradley Beck,(271)899-0819,BO,Java,SEK,Swedish Krona,Swedish Kroner,1,12.29,12.34
latvia,Joseph Smith,(592)298-3385x09842,AO,Java,EUR,Euro,European Euro,1,143.56,144.21
hong kong,Kevin Shelton,(994)309-4285x467,ML,PHP,HKD,Hong Kong Dollar,Hong Kong Dollar,1,17.05,17.12
montenegro,Lori Newman,2758800241,NL,PHP,EUR,Euro,European Euro,1,143.56,144.21
malaysia,Laura Wilkerson,(689)871-8414,PE,C#,MYR,Malaysian Ringgit,Malaysian Ringgit,1,28.14,28.27
china,Robert Hunt,564.416.9359x46060,IE,C#,CNY,Yuan Renminbi,Chinese Yuan,1,18.47,18.55
martinique,Larry Rios,7419932734,NI,PHP,EUR,Euro,European Euro,1,143.56,144.21
greece,Haley Guzman,(947)899-5950x25440,BT,PHP,EUR,Euro,European Euro,1,143.56,144.21
latvia,Steven Harris,+1-888-267-0095x10545,BN,Java,EUR,Euro,European Euro,1,143.56,144.21
american samoa,Crystal Ward,(265)939-5053x31360,AE,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
mayotte,Samantha Perkins,432.850.9612,LB,Java,EUR,Euro,European Euro,1,143.56,144.21
guam,Robin Sanders,+1-661-332-5839x56707,MC,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
singapore,Madeline Gonzalez,001-964-905-8166x658,MG,Python,SGD,Singapore Dollar,Singapore Dollar,1,98.53,98.98
japan,Natalie Allen,(716)216-4266x988,ST,C#,JPY,Yen,Japanese Yen,10,8.63,8.67
norfolk island,Kimberly Wood,5156033619,PL,Python,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
denmark,Beth Lloyd,001-999-957-1844x986,VN,Python,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
singapore,Kathleen Thomas,297-558-0254x71966,SM,Java,SGD,Singapore Dollar,Singapore Dollar,1,98.53,98.98
puerto rico,Yvonne Solomon,236.378.7841x307,UZ,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
puerto rico,Mary Wiley,6947101780,MW,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
guam,Jennifer Hughes,755-334-1459x17379,AT,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
thailand,Cody Gray,302-203-2014,BE,PHP,THB,Baht,Thai Baht,1,3.62,3.63
guam,Frederick Hunter,901.519.2209,SR,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
singapore,Amy Daniels,+1-920-296-0431,MZ,Java,SGD,Singapore Dollar,Singapore Dollar,1,98.53,98.98
ecuador,Steven Smith,861.645.5708x59108,KM,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
finland,Briana Nixon,6807192859,GM,PHP,EUR,Euro,European Euro,1,143.56,144.21
isle of man,Nancy Gonzalez,870-915-8305x73921,KM,Python,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
guam,Paula Stewart,(577)763-2278x448,HU,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
latvia,Mark Sheppard DDS,+1-941-777-2698x62475,NO,Python,EUR,Euro,European Euro,1,143.56,144.21
el salvador,Mary Smith,512.838.1247x88832,RW,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
slovenia,James Williamson,+1-376-853-6144,SI,Python,EUR,Euro,European Euro,1,143.56,144.21
monaco,Timothy Wong,596-530-0772x81427,NO,Python,EUR,Euro,European Euro,1,143.56,144.21
palau,George Hull,(589)559-4418x0754,SV,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
kuwait,Edwin Lane,297.704.1333,MT,Java,KWD,Kuwaiti Dinar,Kuwaity Dinar,1,433.7,435.65
palau,Kelsey Goodman,+1-691-429-7611,VA,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
germany,Caleb Alexander,981.516.0181,ES,Java,EUR,Euro,European Euro,1,143.56,144.21
china,Shawn Rose,4596265107,BY,Java,CNY,Yuan Renminbi,Chinese Yuan,1,18.47,18.55
austria,Kelly Bailey,(847)571-8261,TN,Python,EUR,Euro,European Euro,1,143.56,144.21
isle of man,Raymond Hardy,(262)840-3142x86874,DZ,Java,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
thailand,Laura Sanchez,848-431-4460x623,TM,PHP,THB,Baht,Thai Baht,1,3.62,3.63
qatar,Allen Green,+1-762-309-8551x461,SV,Python,QAR,Qatari Rial,Qatari Riyal,1,36.57,36.73
slovenia,Luis Jackson,(700)622-7919x4498,BZ,PHP,EUR,Euro,European Euro,1,143.56,144.21
singapore,Sarah Cuevas,234-420-0310x75808,BA,Python,SGD,Singapore Dollar,Singapore Dollar,1,98.53,98.98
french guiana,Scott Garcia,650-472-2362,JM,Python,EUR,Euro,European Euro,1,143.56,144.21
martinique,Patricia Powers,001-814-323-0143,IR,C#,EUR,Euro,European Euro,1,143.56,144.21
lithuania,Bobby Cain,328-471-0046x609,LR,C#,EUR,Euro,European Euro,1,143.56,144.21
palau,Emily Armstrong,537-488-9900,ZW,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
guernsey,Diane Porter,738.409.9087,EC,Java,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
qatar,Jose Collins,(933)235-1640x63459,CU,C#,QAR,Qatari Rial,Qatari Riyal,1,36.57,36.73
jersey,Anthony Lewis,301-754-3469,SE,PHP,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
japan,Jordan Edwards,488-690-0147x8296,SD,PHP,JPY,Yen,Japanese Yen,10,8.63,8.67
american samoa,Shannon Long,(624)759-2758,GW,PHP,USD,US Dollar,U.S. Dollar,1,133.32,133.92
monaco,Danielle Ryan,763-976-9802x7560,TT,PHP,EUR,Euro,European Euro,1,143.56,144.21
cyprus,Kylie Hall,4314777780,BF,C#,EUR,Euro,European Euro,1,143.56,144.21
isle of man,Jason Walls,(465)742-5011x1959,LY,Java,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
lithuania,Stephanie Woods,001-572-441-2819,TR,Python,EUR,Euro,European Euro,1,143.56,144.21
andorra,Charles Williamson,(310)519-2938x327,JP,Java,EUR,Euro,European Euro,1,143.56,144.21
palau,Johnathan Henderson,(494)772-4027,JM,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
greece,Daniel Bridges,6236555540,RW,C#,EUR,Euro,European Euro,1,143.56,144.21
haiti,Jessica Tran,(494)957-2874x7815,VA,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
italy,Matthew Wallace,001-210-962-0550x7047,GR,PHP,EUR,Euro,European Euro,1,143.56,144.21
croatia,Marissa Mann,488-777-9826x76005,TH,PHP,EUR,Euro,European Euro,1,143.56,144.21
jersey,Emily Chavez,638.757.7481x135,VA,PHP,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
panama,Gina Wilson,994.548.1768x897,MW,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
isle of man,Joshua Wilkerson,001-560-378-8015x32060,GH,Python,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
finland,Jeremiah Woods,001-213-603-1089x6097,GQ,Python,EUR,Euro,European Euro,1,143.56,144.21
italy,Tiffany Miller,256.662.7179,SK,Python,EUR,Euro,European Euro,1,143.56,144.21
greenland,Arthur Nguyen,450.494.3355x942,RU,C#,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
guernsey,Wanda Marshall,678-931-7812x22976,IS,Python,GBP,Pound Sterling,UK Pound Sterling,1,167.27,168.02
san marino,Danielle Rodriguez,001-362-250-3368x826,MK,PHP,EUR,Euro,European Euro,1,143.56,144.21
panama,James Jones,781-336-4790x0835,AL,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
timor-leste,Morgan Jackson,001-956-808-3844x8720,MX,Java,USD,US Dollar,U.S. Dollar,1,133.32,133.92
slovenia,Michelle Gonzalez,001-796-583-5892x210,JM,Java,EUR,Euro,European Euro,1,143.56,144.21
american samoa,Tina Wagner,444.271.5419x0724,BY,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
panama,Regina Massey,001-339-423-3275x113,GN,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
palau,Megan Mercado,001-606-375-8185,BN,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
bahrain,Pamela Patrick,001-278-235-1267x5691,TL,Java,BHD,Bahraini Dinar,Bahrain Dinar,1,353.6,355.19
bahrain,Casey Rivera,(290)597-4765,CH,C#,BHD,Bahraini Dinar,Bahrain Dinar,1,353.6,355.19
bhutan,Adam Wilson,+1-536-963-0698x018,SI,Python,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
qatar,Amy Vasquez,(696)900-1475x673,LR,Java,QAR,Qatari Rial,Qatari Riyal,1,36.57,36.73
tuvalu,Lisa Padilla MD,(746)274-4517x446,MU,Python,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
belgium,Jason Holland,700.503.2319,KZ,Python,EUR,Euro,European Euro,1,143.56,144.21
cyprus,Danielle Gallegos,(746)894-3000,BN,PHP,EUR,Euro,European Euro,1,143.56,144.21
china,Erin Santiago,+1-655-452-1786x466,DE,C#,CNY,Yuan Renminbi,Chinese Yuan,1,18.47,18.55
cyprus,Steven Smith,+1-290-214-4686x09919,HN,PHP,EUR,Euro,European Euro,1,143.56,144.21
cyprus,Mark Monroe MD,001-615-767-0338,CY,C#,EUR,Euro,European Euro,1,143.56,144.21
monaco,Benjamin Mcdonald,(455)513-0541,HR,PHP,EUR,Euro,European Euro,1,143.56,144.21
slovenia,Russell Bradshaw,683.928.7798,ME,PHP,EUR,Euro,European Euro,1,143.56,144.21
thailand,Tiffany Smith,4409152227,DZ,C#,THB,Baht,Thai Baht,1,3.62,3.63
bahrain,Eric Wilson,(529)343-3722,SL,Java,BHD,Bahraini Dinar,Bahrain Dinar,1,353.6,355.19
sweden,Juan Cruz,628-226-1526x78798,IN,C#,SEK,Swedish Krona,Swedish Kroner,1,12.29,12.34
